Name;URL;Author;Price;Number of Ratings;Average Ratings
Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge;https://www.amazon.in/Childrens-Encyclopedia-Scientists-Discoveries-Familiarises/dp/9350570394?_encoding=UTF8&psc=1;Not available;₹ 127.00;1,234;4.3 out of 5 stars
Oswaal CBSE Sample Question Paper Class 12 Physics Book (Reduced Syllabus for 2021 Exam);https://www.amazon.in/Oswaal-Question-Physics-Reduced-Syllabus/dp/9390411904?_encoding=UTF8&psc=1;Oswaal Editorial Board;₹ 240.00;225;4.6 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT;https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9353160189?_encoding=UTF8&psc=1;Arun Sharma;₹ 556.00;2,234;4.5 out of 5 stars
Oswaal CBSE Sample Question Paper Class 12 Mathematics Book (Reduced Syllabus for 2021 Exam);https://www.amazon.in/Oswaal-Question-Mathematics-Reduced-Syllabus/dp/9390411823?_encoding=UTF8&psc=1;Oswaal Editorial Board;₹ 234.00;190;4.6 out of 5 stars
Bhagvad gita as it is english new edition;https://www.amazon.in/Bhagvad-gita-as-english-new/dp/9384564192?_encoding=UTF8&psc=1;Not available;₹ 237.00;3,706;4.7 out of 5 stars
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam);https://www.amazon.in/Oswaal-Question-Science-Reduced-Syllabus/dp/9390222478?_encoding=UTF8&psc=1;Oswaal Editorial Board;₹ 320.00;467;4.5 out of 5 stars
Inner Engineering: A Yogi’s Guide to Joy;https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;₹ 178.00;8,483;4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;₹ 299.00;44,252;4.5 out of 5 stars
CBSE All In One English Language & Literature Class 10 for 2021 Exam;https://www.amazon.in/CBSE-English-Language-Literature-Class/dp/9324198092?_encoding=UTF8&psc=1;Arihant Experts;₹ 355.00;650;4.5 out of 5 stars
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books);https://www.amazon.in/Ruskin-Bond-Selling-Children-Collection/dp/8131964817?_encoding=UTF8&psc=1;Not available;₹ 419.00;716;4.5 out of 5 stars
"Certificate Physical And Human Geography; Indian Edition";https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160?_encoding=UTF8&psc=1;Not available;₹ 325.00;5,078;4.5 out of 5 stars
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India;https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118?_encoding=UTF8&psc=1;Wonder House Books;₹ 159.00;523;4.6 out of 5 stars
10 Years Solved Papers: ICSE Class 10 for 2021 Examination;https://www.amazon.in/10-Years-Solved-Papers-Examination/dp/9389937264?_encoding=UTF8&psc=1;Gurukul Books;₹ 650.00;459;4.5 out of 5 stars
CBSE All In One Social Science Class 10 for 2021 Exam;https://www.amazon.in/CBSE-Social-Science-Class-2021/dp/9324198076?_encoding=UTF8&psc=1;Not available;₹ 670.00;756;4.4 out of 5 stars
Refreshing Mandala - Colouring Book for Adults Book 1;https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601?_encoding=UTF8&psc=1&smid=AT95IG9ONZD7S;Not available;₹ 150.00;2,836;4.6 out of 5 stars
